BUKRS;KTOPL;SAKNR;BILKT;FISC_YEAR;FIS_PERIOD;DEBITS_PER;CREDIT_PER;PER_SALES;BALANCE;CURRENCY
MUSE;MUSE;0000110000;0000110100;2017;08; 0; 0; 0; 3819471;CLP
MUSE;MUSE;0000110001;0000110100;2017;08; 0; 0; 0; 68922;CLP
MUSE;MUSE;0000110002;0000110100;2017;08; 0; 0; 0; 789059;CLP
MUSE;MUSE;0000110003;0000110100;2017;08; 0; 0; 0; 1249844;CLP
MUSE;MUSE;0000110004;0000110100;2017;08; 0; 0; 0; 630831;CLP
MUSE;MUSE;0000110005;0000110100;2017;08; 0; 0; 0; 1040000;CLP
MUSE;MUSE;0000110006;0000110100;2017;08; 0; 0; 0; 80094;CLP
MUSE;MUSE;0000110007;0000110100;2017;08; 0; 0; 0; 1263999;CLP
MUSE;MUSE;0000110008;0000110100;2017;08; 0; 0; 0; 1289867;CLP
MUSE;MUSE;0000110009;0000110100;2017;08; 0; 0; 0; 1204248;CLP
MUSE;MUSE;0000110010;0000110100;2017;08; 0; 0; 0; 856046;CLP
MUSE;MUSE;0000110011;0000110100;2017;08; 0; 0; 0; 127675;CLP
MUSE;MUSE;0000110012;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110013;0000110100;2017;08; 0; 0; 0; 731201;CLP
MUSE;MUSE;0000110014;0000110100;2017;08; 0; 0; 0; 952080;CLP
MUSE;MUSE;0000110015;0000110100;2017;08; 0; 0; 0; 148025;CLP
MUSE;MUSE;0000110016;0000110100;2017;08; 0; 0; 0; 641060;CLP
MUSE;MUSE;0000110017;0000110100;2017;08; 0; 0; 0; 1066933;CLP
MUSE;MUSE;0000110018;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110019;0000110100;2017;08; 0; 0; 0; 272427;CLP
MUSE;MUSE;0000110020;0000110100;2017;08; 0; 0; 0; 184692;CLP
MUSE;MUSE;0000110021;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110022;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110023;0000110100;2017;08; 0; 0; 0; 94861;CLP
MUSE;MUSE;0000110024;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110025;0000110100;2017;08; 0; 0; 0; 190971;CLP
MUSE;MUSE;0000110026;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110027;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110028;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110029;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110030;0000110100;2017;08; 0; 0; 0; 15178839;CLP
MUSE;MUSE;0000110032;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110033;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000110100;0000110100;2017;08; 0; 0; 0; 186000;CLP
MUSE;MUSE;0000110101;0000110100;2017;08; 0; 0; 0; -15200;CLP
MUSE;MUSE;0000110200;0000110100;2017;08; 0; 0; 0; 1373913;CLP
MUSE;MUSE;0000110204;0000110100;2017;08; 0; 0; 0; 300000;CLP
MUSE;MUSE;0000110205;0000110100;2017;08; 0; 0; 0; 25456873;CLP
MUSE;MUSE;0000110206;0000110100;2017;08; 0; 0; 0; 12131587;CLP
MUSE;MUSE;0000110207;0000110100;2017;08; 0; 0; 0; 9596426;CLP
MUSE;MUSE;0000111000;0000110100;2017;08; 0; 0; 0; 24662609;CLP
MUSE;MUSE;0000111001;0000110100;2017;08; 0; 0; 0; -133985045;CLP
MUSE;MUSE;0000111002;0000110100;2017;08; 0; 0; 0; -24618129;CLP
MUSE;MUSE;0000111010;0000110100;2017;08; 0; 0; 0; 279759384;CLP
MUSE;MUSE;0000111011;0000110100;2017;08; 0; 0; 0; -2534719652;CLP
MUSE;MUSE;0000111012;0000110100;2017;08; 0; 0; 0; 100000000;CLP
MUSE;MUSE;0000111020;0000110100;2017;08; 0; 0; 0; 15378597;CLP
MUSE;MUSE;0000111021;0000110100;2017;08; 0; 0; 0; -13000000;CLP
MUSE;MUSE;0000111022;0000110100;2017;08; 0; 0; 0; -10574423;CLP
MUSE;MUSE;0000111030;0000110100;2017;08; 0; 0; 0; 506748;CLP
MUSE;MUSE;0000111031;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111032;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111040;0000110100;2017;08; 0; 0; 0; 222562;CLP
MUSE;MUSE;0000111041;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111042;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111050;0000110100;2017;08; 0; 0; 0; 25630753;CLP
MUSE;MUSE;0000111051;0000110100;2017;08; 0; 0; 0; -20000000;CLP
MUSE;MUSE;0000111052;0000110100;2017;08; 0; 0; 0; 34428622;CLP
MUSE;MUSE;0000111060;0000110100;2017;08; 0; 0; 0; 3210702;CLP
MUSE;MUSE;0000111061;0000110100;2017;08; 0; 0; 0; -3000000;CLP
MUSE;MUSE;0000111062;0000110100;2017;08; 0; 0; 0; 2596368;CLP
MUSE;MUSE;0000111070;0000110100;2017;08; 0; 0; 0; -19925529;CLP
MUSE;MUSE;0000111080;0000110100;2017;08; 0; 0; 0; 482563;CLP
MUSE;MUSE;0000111090;0000110100;2017;08; 0; 0; 0; -77284662;CLP
MUSE;MUSE;0000111100;0000110100;2017;08; 0; 0; 0; -3982628;CLP
MUSE;MUSE;0000111110;0000110100;2017;08; 0; 0; 0; -62043133;CLP
MUSE;MUSE;0000111120;0000110100;2017;08; 0; 0; 0; 382922;CLP
MUSE;MUSE;0000111130;0000110100;2017;08; 0; 0; 0; 15487107;CLP
MUSE;MUSE;0000111140;0000110100;2017;08; 0; 0; 0; 7945033;CLP
MUSE;MUSE;0000111141;0000110100;2017;08; 0; 0; 0; -409922939;CLP
MUSE;MUSE;0000111142;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111160;0000110100;2017;08; 0; 0; 0; 30661598;CLP
MUSE;MUSE;0000111170;0000110100;2017;08; 0; 0; 0; 2946748;CLP
MUSE;MUSE;0000111180;0000110100;2017;08; 0; 0; 0; 5296647;CLP
MUSE;MUSE;0000111220;0000110100;2017;08; 0; 0; 0; -981298;CLP
MUSE;MUSE;0000111230;0000110100;2017;08; 0; 0; 0; 444768;CLP
MUSE;MUSE;0000111231;0000110100;2017;08; 0; 0; 0; -300000;CLP
MUSE;MUSE;0000111232;0000110100;2017;08; 0; 0; 0; 132300;CLP
MUSE;MUSE;0000111240;0000110100;2017;08; 0; 0; 0; 525744;CLP
MUSE;MUSE;0000111241;0000110100;2017;08; 0; 0; 0; -3151946;CLP
MUSE;MUSE;0000111242;0000110100;2017;08; 0; 0; 0; 2706986;CLP
MUSE;MUSE;0000111250;0000110100;2017;08; 0; 0; 0; 187849810;CLP
MUSE;MUSE;0000111251;0000110100;2017;08; 0; 0; 0; -9944120;CLP
MUSE;MUSE;0000111252;0000110100;2017;08; 0; 0; 0; -5020801;CLP
MUSE;MUSE;0000111260;0000110100;2017;08; 0; 0; 0; 23396339;CLP
MUSE;MUSE;0000111261;0000110100;2017;08; 0; 0; 0; -17855204;CLP
MUSE;MUSE;0000111262;0000110100;2017;08; 0; 0; 0; 1958746;CLP
MUSE;MUSE;0000111270;0000110100;2017;08; 0; 0; 0; 10618308;CLP
